display_id,ad_id,clicked,ad_document_id
1,42337,0,938164
1,139684,0,1085937
1,144739,1,1337362
1,156824,0,992370
1,279295,0,1670176
1,296965,0,1133290
2,125211,0,876083
2,156535,0,630534
2,169564,0,1394819
2,308455,1,1712989
3,71547,0,1043039
3,95814,0,811706
3,152141,0,1060089
3,183846,0,850713
3,228657,1,1572960
3,250082,0,1618502
4,149930,0,1357158
4,153623,1,470737
4,184709,0,1405160
4,186849,0,626581
4,233730,0,1554958
5,54606,0,950652
5,162868,0,1408334
5,184548,0,1461991
5,282674,0,1677985
5,326514,1,1659371
6,85397,0,1101631
6,160754,0,1271578
6,173388,0,947798
6,175234,1,1442005
6,180923,0,1151028
6,234445,0,1586187
7,105766,1,1151028
7,215967,0,1445187
7,300808,0,1701364
8,95724,0,1136820
8,175694,0,1392479
8,280430,1,1601512
8,329774,0,1652347
9,19959,0,783101
9,104208,0,1059054
9,140940,1,1183136
9,151028,0,1270285
10,241662,0,1588639
10,332908,1,153509
11,51955,0,971259
11,96116,0,1138404
11,139059,1,1317916
11,149541,0,1106570
11,156477,0,1370490
11,159431,0,1097725
12,35982,0,871324
12,41584,0,920879
12,75426,0,1077623
12,97178,1,1107176
12,105789,0,1137800
12,211592,0,1535449
13,121703,0,1160307
13,143294,0,1085937
13,149541,1,1106570
14,98270,0,976148
14,143467,0,1332106
14,224171,1,1564935
14,288396,0,1301965
15,52086,0,974579
15,153016,1,1360929
15,191589,0,1405567
15,335983,0,1783820
16,104208,0,1059054
16,172888,0,1433954
16,235104,0,1587377
16,273567,1,1649400
17,27309,0,514201
17,37191,1,898443
17,81652,0,1094107
17,250080,0,1618502
18,130833,0,1260980
18,164299,0,1408591
18,232272,0,573399
18,285989,1,1130922
19,39872,0,500812
19,111036,1,1173249
20,117567,0,1176310
20,151926,0,1218217
20,177068,1,1447290
20,282350,0,1677043
21,5558,0,257734
21,28337,1,829445
21,89256,0,1115161
21,137128,0,1225364
22,171594,0,1271669
22,225435,0,1155228
22,232272,0,573399
22,288069,1,1671761
23,105664,0,1160839
23,192854,1,1460834
23,213690,0,1542167
23,223729,0,1562861
23,224786,0,1566204
23,284367,0,1679241
23,284504,0,691081
23,294332,0,1695675
24,48185,0,964140
24,64255,0,747047
24,80301,1,394511
24,87029,0,1108820
24,137247,0,1283360
24,193650,0,1130922
25,47902,0,965468
25,55167,1,984491
25,137364,0,1225362
25,137367,0,1225364
25,238431,0,1598289
25,262592,0,1635640
26,152193,1,1307953
26,285992,0,1130922
27,7432,1,468143
27,250319,0,1592795
28,91945,0,1108510
28,142608,0,1328059
28,162994,0,1408591
28,198120,0,1387843
28,268548,0,1377696
28,290654,1,834780
29,198125,0,1387843
29,198146,1,1128839
30,139944,1,1320137
30,166549,0,1286118
30,181548,0,1455026
30,250079,0,1618502
30,269017,0,1647612
31,5116,0,445114
31,31770,1,39093
31,44927,0,845425
31,122410,0,1225124
31,160722,0,1400544
31,223536,0,1229509
32,111697,0,796745
32,185710,0,1463281
32,188665,0,1463156
32,333874,1,1779424
33,34348,0,874426
33,36619,0,899906
33,138832,0,1316884
33,238429,0,1598289
33,325904,1,1751130
33,326394,0,1752138
34,14096,1,699988
34,23522,0,801085
34,101761,0,1152210
34,151209,0,972591
34,162129,0,1405507
34,220315,0,1554967
34,228566,0,1572613
34,260399,0,1373838
35,45024,0,923095
35,180913,0,1151028
35,289116,1,1687165
36,3685,0,358633
36,59628,0,1019158
36,149541,0,1106570
36,171309,0,737679
36,228959,1,1141938
36,328479,0,1760291
37,70153,0,933716
37,149047,0,1169985
37,169564,0,1394819
37,234713,1,1586431
37,235443,0,1377696
38,10731,0,632740
38,18493,0,699867
38,35316,0,890732
38,123124,0,1228912
38,128502,0,1267918
38,135335,0,1141244
38,141109,1,323041
38,197199,0,1464827
38,285836,0,1117317
39,28347,0,845450
39,147706,0,954430
39,160454,0,1108162
39,166922,1,1415940
40,37099,0,902730
40,322736,1,1617964
40,327087,0,1163344
41,52838,1,858914
41,138353,0,786803
41,149541,0,1106570
41,162417,0,1380774
41,173006,0,1031141
41,233086,0,1301965
42,29046,1,371327
42,276172,0,833704
43,14081,1,699897
43,46128,0,952658
43,81009,0,900292
43,149541,0,1106570
43,157391,0,1277591
43,211592,0,1535449
44,108200,0,1160998
44,111054,0,1173249
44,269739,1,1649150
44,287157,0,1575164
45,111054,0,1173249
45,167398,1,1019847
45,198397,0,793069
45,235443,0,1377696
46,102726,0,1116842
46,120162,1,1207420
46,139950,0,1320137
46,250079,0,1618502
47,39487,0,913679
47,66921,0,1053839
47,66942,0,363176
47,116261,0,943876
47,153181,0,1227639
47,155385,1,1334240
47,188222,0,1469784
47,251970,0,1459908
48,55988,0,208091
48,59519,0,1018710
48,88842,0,1112099
48,133751,0,925820
48,180923,0,1151028
48,334742,1,1780692
49,132776,0,1097435
49,247063,0,1613562
49,270922,0,1575207
49,279028,1,968924
50,135466,0,1304818
50,152843,0,1324979
50,162121,0,1106050
50,162129,1,1405507
50,184717,0,1462705
50,192682,0,1439388
51,5760,1,461290
51,99568,0,1125808
51,155560,0,1386371
51,163669,0,1409968
52,32481,0,865744
52,85397,0,1101631
52,95103,1,1098103
52,112111,0,965492
52,128615,0,1268111
52,160754,0,1271578
52,180720,0,1151028
52,192149,0,942989
52,288377,0,1301965
53,141009,0,1142136
53,144980,0,361129
53,150083,0,1358132
53,159431,0,1097725
53,278366,1,1668254
54,40397,0,859055
54,55518,0,982695
54,118871,0,1151028
54,150083,0,1358132
54,173005,0,1031141
54,229333,0,673686
54,234723,0,1586735
54,257105,1,1150275
54,288377,0,1301965
55,20801,0,793419
55,50640,0,869942
55,101184,0,1151177
55,117500,0,1195662
55,141465,0,1325557
55,144719,0,1061971
55,192682,0,1439388
55,220854,1,1557353
56,51445,0,795834
56,151213,0,972591
56,215554,1,1546943
56,231127,0,1223444
57,13030,0,551022
57,98204,1,149347
57,150231,0,1046269
57,173400,0,1387632
57,198151,0,1387840
58,229669,1,1542769
58,255276,0,1625264
58,278452,0,1414815
59,69340,1,707846
59,93396,0,1070674
59,97580,0,1141921
59,98027,0,1087049
59,120162,0,1207420
59,151927,0,1218217
59,195261,0,1492706
59,269865,0,747296
59,330981,0,1731780
60,86683,1,1106570
60,144741,0,1337362
